Genotype,Day,mean_pct,sd_pct,n,sem_pct
APOE33HN,28,-14.790277587648838,9.657409238252448,12,2.787853911689715
APOE33HN,29,-19.596602301528065,4.9976529663068305,12,1.4426981427067902
APOE33HN,30,-17.119698618004126,5.885668383754757,12,1.6990461128608394
APOE33HN,32,-15.384980181144714,5.788272215572729,12,1.6709302609018732
APOE33HN,34,-17.639042535154392,5.373218141021054,12,1.5511144700665431
APOE33HN,36,-17.125033132160777,5.1607319178091675,12,1.4897749809813083
APOE33HN,39,-13.476499478929675,5.396020510490094,12,1.557696947142099
APOE33HN,41,-18.062490430013728,6.583543478453799,12,1.900505299753453
APOE33HN,43,-17.99883560164282,5.646416318551664,12,1.6299799907362493
APOE33HN,46,-13.476499478929675,5.396020510490094,12,1.557696947142099
APOE33HN,48,-18.062490430013728,6.583543478453799,12,1.900505299753453
APOE33HN,50,-17.99883560164282,5.646416318551664,12,1.6299799907362493
APOE33HN,53,-17.639492685322338,3.98948031003167,12,1.1516637654617483
APOE33HN,55,-18.09526980872619,3.737116071831477,12,1.0788124850323901
APOE33HN,57,-17.058628724899105,5.329017170897118,12,1.5383547490667946
APOE33HN,60,-17.68701453919006,4.934768644657407,12,1.4245450026907394
APOE33HN,67,-17.655080644871745,10.839206774531398,11,3.268143808745366
APOE33HN,69,-24.342831134270384,9.889683746610629,11,2.9818518438894257
APOE33HN,71,-22.163530833701746,9.609295764231113,11,2.897311686318732
APOE44HN,0,0.0,0.0,8,0.0
APOE44HN,4,0.0,0.0,8,0.0
APOE44HN,6,-0.7978723404255319,1.5830293811549891,8,0.5596854051161183
APOE44HN,8,-5.198133962732713,1.6947371132823443,8,0.5991800525652299
APOE44HN,11,-4.97640201560183,2.3367528496973575,8,0.8261668929889954
APOE44HN,13,-8.32634544764517,2.933004684677931,8,1.0369737508938384
APOE44HN,15,-10.675337260385827,3.658441679507573,8,1.2934544600776534
APOE44HN,18,-8.16357117481655,4.104891499905943,8,1.451298307809255
APOE44HN,19,-12.01164494874023,3.9745007770361434,8,1.4051982256367295
APOE44HN,20,-11.485768702466206,3.6662719965857744,8,1.2962228952300718
APOE44HN,21,-11.485768702466206,3.6662719965857744,8,1.2962228952300718
APOE44HN,22,-12.505870857223771,4.21313572965177,8,1.4895684222480496
APOE44HN,25,-8.408959844118263,5.002007881408223,8,1.768476846246155
APOE44HN,26,-7.378033092793731,5.099758355682004,8,1.8030368578577511
APOE44HN,28,-10.16371138176758,4.319945843711729,8,1.5273315002236023
APOE44HN,29,-12.707329849588174,4.638075400855728,8,1.6398072837998
APOE44HN,30,-13.823355953328202,10.312273347743139,8,3.6459392068192362
APOE44HN,32,-9.4653166817251,5.8220517545256625,8,2.0584061380220664
APOE44HN,34,-12.23121988313362,5.958255828361899,8,2.1065615501394843
APOE44HN,36,-10.243156970868581,6.10208495811221,8,2.1574128266287866
APOE44HN,39,-9.477673738919114,4.26890485873445,8,1.509285786925665
APOE44HN,41,-12.285655310487643,5.326161248925579,8,1.8830823684041438
APOE44HN,43,-12.339768971649175,6.010120672723514,8,2.1248985417161257
APOE44HN,46,-8.92311391776586,4.860483475671787,8,1.71844041274634
APOE44HN,48,-12.285655310487643,5.326161248925579,8,1.8830823684041438
APOE44HN,50,-12.339768971649175,6.010120672723514,8,2.1248985417161257
APOE44HN,53,-11.62948408424241,9.065235943230675,8,3.2050449042572193
APOE44HN,55,-12.949270173628406,9.105897597067829,8,3.219420969838475
APOE44HN,57,-11.386926395888006,9.393459641578247,8,3.321089505681067
APOE44HN,60,-11.160535184442447,10.228065810747799,8,3.6161673466010256
APOE44HN,67,-7.522132123195953,10.898773692816501,8,3.853298392404049
APOE44HN,69,-15.764926739284972,10.330456908209454,8,3.65236806627516
APOE44HN,71,-15.160685319537077,10.185678466368891,8,3.601181157277618
