Test,AnimalID,Treatment,Code,Stage,Trial,Apparatus,Date,Duration (s),Distance (m),Mean speed (m/s),NE : time (s),NE : distance (m),NE : average speed (m/s),NW : time (s),NW : distance (m),NW : average speed (m/s),SE : time (s),SE : distance (m),SE : average speed (m/s),SW : time (s),SW : distance (m),SW : average speed (m/s),Island : distance to first entry (m),Island : latency to first entry (s),Thigmitaxis : time (s),Thigmitaxis : distance (m),Thigmitaxis : average speed (m/s),Diet,Sex,Age (months)
400,250530_26,,,Day4,3,MWM_150,12/18/2025,27.4,1.998,0.073,4.7,0.374,0.08,9.8,0.824,0.084,0,0,,12.9,0.8,0.062,1.923,22.3,0,0,,HFD,M,13
401,250530_27,,,Day4,3,MWM_150,12/18/2025,39.3,4.974,0.127,5.7,0.902,0.157,11.1,1.226,0.11,7.2,1.507,0.209,15.3,1.338,0.088,4.897,34.2,8.9,0.937,0.105,HFD,F,11
402,250530_28,,,Day4,3,MWM_150,12/18/2025,35.6,5.212,0.146,3.8,0.827,0.219,4.2,0.473,0.113,13.5,2.615,0.194,14.2,1.299,0.092,5.176,30.6,0,0,,HFD,F,11
403,250530_29,,,Day4,3,MWM_150,12/18/2025,60,7.767,0.129,5.9,0.841,0.143,0.9,0.103,0.11,15.6,2.514,0.161,37.6,4.31,0.115,,,37,3.324,0.09,HFD,F,11
404,250530_30,,,Day4,3,MWM_150,12/18/2025,32.7,4.218,0.129,0.5,0.045,0.083,0.9,0.123,0.142,13.1,1.732,0.132,18.1,2.317,0.128,4.181,27.6,0,0,,HFD,F,11
405,250530_31,,,Day4,3,MWM_150,12/18/2025,60,10.214,0.17,20.6,3.274,0.159,16.8,2.92,0.174,10.7,2.111,0.198,9.6,1.492,0.155,,,30.9,5.187,0.168,HFD,F,11
406,250530_1,,,Day4,4,MWM_150,12/18/2025,5.4,0.037,0.007,0,0,,0,0,,0,0,,5.4,0.037,0.007,0,0,0,0,,HFD,M,12
407,250530_2,,,Day4,4,MWM_150,12/18/2025,11.1,1.109,0.1,1,0.223,0.223,2.4,0.474,0.195,1,0.09,0.093,6.7,0.322,0.048,1.071,6.1,0,0,,HFD,M,12
408,250530_3,,,Day4,4,MWM_150,12/18/2025,15,1.704,0.114,0,0,,0,0,,8.2,1.487,0.182,6.8,0.217,0.032,1.704,9.9,0,0,,HFD,M,11
409,250530_4,,,Day4,4,MWM_150,12/18/2025,5.4,0,0,0,0,,0,0,,0,0,,5.4,0,0,0,0,0,0,,HFD,M,11
410,250530_5,,,Day4,4,MWM_150,12/18/2025,15.7,1.497,0.096,0,0,,0,0,,8.2,1.224,0.149,7.5,0.273,0.037,1.456,10.6,0,0,,HFD,M,11
411,250530_6,,,Day4,4,MWM_150,12/18/2025,7.4,0.298,0.04,0,0,,0.8,0.09,0.111,0,0,,6.6,0.208,0.032,0.261,2.3,0,0,,HFD,M,11
412,250530_8,,,Day4,4,MWM_150,12/18/2025,10.6,0.622,0.058,0,0,,0,0,,0,0,,10.6,0.622,0.058,0.589,5.6,0,0,,HFD,F,12
413,250530_9,,,Day4,4,MWM_150,12/18/2025,10.8,0.764,0.071,0,0,,0,0,,4.2,0.541,0.129,6.6,0.223,0.034,0.764,5.7,0,0,,HFD,F,12
414,250530_11,,,Day4,4,MWM_150,12/18/2025,60,7.129,0.119,13.3,1.659,0.125,17,1.463,0.086,6.3,0.75,0.12,23,3.257,0.141,,,27.1,2.432,0.09,HFD,M,12
415,250530_12,,,Day4,4,MWM_150,12/18/2025,7.6,0.227,0.03,0,0,,0,0,,0,0,,7.6,0.227,0.03,0.152,2.5,0,0,,HFD,M,12
416,250530_13,,,Day4,4,MWM_150,12/18/2025,11,0.324,0.03,0,0,,0,0,,0,0,,11,0.324,0.03,0.286,5.9,0,0,,HFD,M,11
417,250530_14,,,Day4,4,MWM_150,12/18/2025,12.3,0.383,0.031,0,0,,0,0,,0,0,,12.3,0.383,0.031,0.311,7.2,0,0,,HFD,M,11
418,250530_15,,,Day4,4,MWM_150,12/18/2025,5.6,0.066,0.012,0,0,,0,0,,0,0,,5.6,0.066,0.012,0,0,0,0,,HFD,F,12
419,250530_16,,,Day4,4,MWM_150,12/18/2025,25.7,2.326,0.091,0,0,,0,0,,0,0,,25.7,2.326,0.091,2.289,20.6,0,0,,HFD,F,12
420,250530_18,,,Day4,4,MWM_150,12/18/2025,14.9,0.792,0.053,0,0,,0,0,,0,0,,14.9,0.792,0.053,0.76,9.8,0,0,,HFD,F,12
421,250530_19,,,Day4,4,MWM_150,12/18/2025,5.6,0.037,0.007,0,0,,0,0,,0,0,,5.6,0.037,0.007,0,0,0,0,,HFD,F,11
422,250530_20,,,Day4,4,MWM_150,12/18/2025,6.4,0.175,0.028,0,0,,0,0,,0,0,,6.4,0.175,0.028,0.105,1.3,0,0,,HFD,F,11
423,250530_21,,,Day4,4,MWM_150,12/18/2025,12.1,0.811,0.067,0,0,,0.8,0.111,0.144,0,0,,11.4,0.7,0.062,0.777,7,1,0.037,0.039,HFD,F,11
424,250530_22,,,Day4,4,MWM_150,12/18/2025,6.6,0.088,0.013,0,0,,0,0,,0,0,,6.6,0.088,0.013,0.049,1.6,0,0,,HFD,F,8
425,250530_23,,,Day4,4,MWM_150,12/18/2025,21.9,2.28,0.104,2.1,0.399,0.19,2.6,0.397,0.153,4.2,0.324,0.077,13,1.16,0.09,2.236,16.9,0,0,,HFD,M,15
